id,year,quarter,age,gender,income_level,education_level,visit_frequency,social_media,favorite_product_id,rating,comment,positive_comment
1,2023,3,39,false,3,4,3,2,3,2,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",true
2,2023,1,23,true,1,2,4,2,8,5,Suspendisse ornare consequat lectus.,false
3,2020,2,25,true,1,4,4,3,4,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",true
4,2017,1,43,false,3,4,4,1,10,0,Integer tincidunt ante vel ipsum.,false
5,2021,3,42,false,4,3,7,3,8,1,Etiam vel augue.,true
6,2021,1,20,true,3,3,6,2,6,3,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,false
7,2021,4,43,true,4,3,4,3,3,0,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",true
8,2023,1,40,true,4,4,1,3,6,3,Curabitur at ipsum ac tellus semper interdum.,true
9,2017,1,21,true,3,4,7,2,5,3,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",false
10,2020,3,48,false,5,6,4,2,9,4,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",true
11,2017,4,34,true,1,3,5,3,6,4,Aliquam non mauris. Morbi non lectus.,true
12,2021,4,44,false,4,3,7,1,10,4,In hac habitasse platea dictumst.,true
13,2022,4,23,false,1,3,7,3,6,2,Nulla mollis molestie lorem.,true
14,2021,1,16,true,2,2,4,2,4,2,In hac habitasse platea dictumst.,false
15,2017,4,13,false,3,3,3,1,8,2,Nulla tellus. In sagittis dui vel nisl.,true
16,2017,1,50,false,3,3,6,2,8,5,Integer a nibh.,true
17,2021,4,37,false,1,5,2,3,4,4,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",true
18,2018,4,24,false,2,1,6,2,6,2,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,true
19,2022,4,14,false,3,6,4,3,5,4,Donec semper sapien a libero. Nam dui.,true
20,2023,1,24,false,2,1,7,3,8,5,Donec semper sapien a libero.,false
21,2020,3,45,false,1,1,1,1,10,5,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,false
22,2019,1,26,true,4,4,1,1,7,2,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,false
23,2020,2,40,false,2,3,7,2,3,1,Integer ac neque.,true
24,2023,3,47,false,2,4,7,2,3,3,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,false
25,2019,2,33,true,2,5,3,3,2,3,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,true
